"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass"
"T chimera processed counts (sample 1)","Processed counts for sample 1 for the T chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/t-chimera/1.4.0/counts-processed-sample1.rds","3.11","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_t_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"T chimera processed counts (sample 2)","Processed counts for sample 2 for the T chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/t-chimera/1.4.0/counts-processed-sample2.rds","3.11","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_t_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"T chimera processed counts (sample 3)","Processed counts for sample 3 for the T chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/t-chimera/1.4.0/counts-processed-sample3.rds","3.11","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_t_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"T chimera processed counts (sample 4)","Processed counts for sample 4 for the T chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/t-chimera/1.4.0/counts-processed-sample4.rds","3.11","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_t_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"T chimera processed counts (sample 5)","Processed counts for sample 5 for the T chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/t-chimera/1.4.0/counts-processed-sample5.rds","3.11","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_t_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"T chimera processed counts (sample 6)","Processed counts for sample 6 for the T chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/t-chimera/1.4.0/counts-processed-sample6.rds","3.11","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_t_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"T chimera processed counts (sample 7)","Processed counts for sample 7 for the T chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/t-chimera/1.4.0/counts-processed-sample7.rds","3.11","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_t_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"T chimera processed counts (sample 8)","Processed counts for sample 8 for the T chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/t-chimera/1.4.0/counts-processed-sample8.rds","3.11","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_t_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"T chimera processed counts (sample 9)","Processed counts for sample 9 for the T chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/t-chimera/1.4.0/counts-processed-sample9.rds","3.11","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_t_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
"T chimera processed counts (sample 10)","Processed counts for sample 10 for the T chimeric mouse embryo single-cell RNA-seq dataset","MouseGastrulationData/t-chimera/1.4.0/counts-processed-sample10.rds","3.11","mm10","TXT","https://content.cruk.cam.ac.uk/jmlab/chimera_t_data","raw_counts.mtx.gz","Mus musculus","10090",TRUE,"Jonathan Griffiths","Jonathan Griffiths <jonathan.griffiths.94@gmail.com>","character","Rds"
